Number,Author,Title,Pages,Class Number,Class Name,Quarter,Year,Descriptors,Location
1732,Parsell, Angela|Dawley, Norm (collaborator),The effects of desiccation and submersion on Fucus gardneri zygote germination,11,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,Fucus gardneri,
1733,Parsons, Stacy|Baker, Kim,Determining the extent of imposex occurrence in the whelk, Nucella lamellosa, due to tributyltin contamination in Friday Harbor, Washington,15,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,Nucella lamellosa|Nucella lapillus,Friday Harbor
1734,Patterson, T.M.,Lichen and littorine ecology: Littorina scutulata and Verrucaria species in the spray zone,13,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,Littorina scutulata|Verrucaria|Hildenbrandia,
1735,Phillips, Travis|Riedel, Rodney, collaborator,Growth of Prionitis lanceolata in the presence of limiting resources,12,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,Prionitis lanceolata,
1736,Reidel, Rodney|Phillips, Travis collaborator,The effects of nitrate and phosphate fertiliztion on the growth of Prionitis lanceolata,14,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,Prionitis lanceolata,
1737,Sancetta, Biagio A.,A quantitative evaluation of differences in meiofauna refuges among the intertidal algae Cladophora columbiana, Callithamnion pikeanum, and Neorhodomela larix,14,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,Cladophora columbiana|Callithamnion pikeanum|Neorhodomela larix,
1738,Thomas, Jacqueline D.,Baseline study of local marine algae and epifauna at Mitchell Point,17,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,,Mitchell Point, San Juan Island
1739,Wolf, Nicholas,Color polymorphism and algal substrate-matching ability in the marine isopod Idotea (Pentidotea) wosnesenskii,16,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1995,Idotea wosnesenskii,
1740"Buss, Wendy|Adams, Jeff|ONeill, Mari|Wolf, Nick"Spartina anglica at Argyle Lagoon,6,Botany 445|Zoology 430,Marine Botany/Marine Biology,Spring,1995,Spartina anglica|Spartina alterniflora|Spartina maritima,Argyle Lagoon, San Juan Island
1741,Maring, Kristen|Laetz, Cathy|Riedel, Rodney,Zonation among seagrasses in Padilla Bay,12,Botany 445|Zoology 430,Marine Botany/Marine Biology,Spring,1995,Zostera japonica|Zostera marina,Padilla Bay, Washington
1742"ONeill, Mari|Wolf, Nicholas|Adams, Jeff|Buss, Wendy"Interactions of Zostera marina and Zostera japonica on the mud flats of Padilla Bay,3,Botany 445|Zoology 430,Marine Botany/Marine Biology,Spring,1995,Zostera marina|Zostera japonica,Padilla Bay, Washington
1743,Class Project,1995 Rueben Tarte baseline transect data, San Juan Island, WA,8,Botany 445|Zoology 430,Marine Botany Marine Biology,Spring,1995,,Reuben Tarte Park, San Juan Island
1744,Class Project,1995 Cattle Point baseline transect data San Juan Island, WA,10,Botany 445|Zoology 430,Marine Botany/Marine Biology,Spring,1995,,Cattle Point, San Juan Island
1745,Armbrecht, Sarah T.,Critical patch size of Spartina anglica in the salt marsh ecosystem of Argyle Lagoon,17,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Spartina anglica,Argyle Lagoon, San Juan Island
1746,Bregar, Dan|Cochran, Lisa,Botany class herbarium,11,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,,
1747,Cochran, Lisa|Bregar, Dan,Botany class herbarium,13,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,,
1748,Christy, Joseph"A survey of infaunal distribution in False Bay, Washington: follow-up to Millers preliminary study of 1937"17,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Capitella capitata|Transennella|Callianassa californiensis,False Bay, San Juan Island
1749,Deering, Stephen,Incest avoidance in Tigriopus californicus,8,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Tigriopus californicus,
1750,Goodridge, Jennifer,Factors influencing distribution and abundance of infaunal species residing in soft-sediment environments: what determines zonation in soft sediment shorelines?,17,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,,False Bay, San Juan Island
1751,Hourdequin, Marion,Interaction between two species of seagrass in Padilla Bay: evidence for competition between Zostera marina and the exotic Zostera japonica,10,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Zostera marina|Zostera japonica,Padilla Bay, Washington
1752,Huston, Adrienne,The effects of Spartina anglica on the salt marsh habitat of Argyle Lagoon,16,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Spartina anglica|Salicornia,Argyle Lagoon, San Juan Island
1753,Kuchta, Shawn R.,Community persistence in an intertidal marine soft-sediment environment: comparison of the species composition of a community 57 years later,28,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,,False Bay, San Juan Island
1754,Kurle, Carolyn,Mussel populations: Mytilus californianus and Mytilus trossulus on San Juan and Turn Islands,17,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,,San Juan Island|Turn Island
1755,Maclean, Scott H.|Patterson, Tyler H.,Study of temperate larval and juvenile fishes, and invertebrate zooplankton in bull kelp, Nereocystis luetkeana, in the San Juan Islands, Washington, USA,23,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Nereocystis luetkeana,San Juan Islands
1756,Martin, Amy Sue|Stanton, Jessica,Pisaster ochraceus: sensitivity to fuel oil, sewage, and nitrogenous waste pollutants,25,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Pisaster ochraceus,
1757,Stanton, Jessica|Martin, Amy,Effects of water pollution on Pisaster ochraceus movement and population density,17,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Pisaster ochraceus,
1758,Matty, Marie,Effects of fungus and herbivory on the growth rate of Fucus gardneri in tide pools of different volumes,13,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Fucus gardneri,
1759,McNees, Alexander A.|Matty, Marie E.,Growth rates and exclusion factors of Fucus gardneri in the tide pool environment,12,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Fucus gardneri|Littorina scutulata,
1760,Oliver, Thomas A.,The effects of light intensity, gut fullness, and creosote on the hydozoan medusa Mitrocoma cellularia,16,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Mitrocoma cellularia|Halistaura cellularia,
1761,Orth, Marc,Critical patch size of Spartina anglica affecting the physical and biological environment of salt marsh habitats,19,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Spartina anglica|Salicornia,
1762,Salatas, Johanna H.,The persistence of creosote toxicity at different tidal heights at dock pilings of various ages in the port of Friday Harbor, Friday Harbor, Washington,22,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Nereocystis,Friday Harbor
1763,Weber, Aimee|Salatas, Jo,Creosote toxicity, measured as species density, over time and tidal height in Friday Harbor,14,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,,Friday Harbor
1764,Class Project,Invasion of Spartina anglica into Argyle Lagooon,12,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Spartina anglica|Spartina,Argyle Lagoon, San Juan Island
1765,Class Project,Species composiition changes at Botany Beach from 1993 to 1994,16,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1984,,Botanical Beach, Vancouver Island
1766,Class Project,Reuben Tarte transect,20,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,Petrocelis|Pterosiphonia,Reuben Tarte Park, San Juan Island
1767,Class Project,Cattle Point survey,8,Botany 445|Zoology 430,Marine Botany/Marine Zoology,Spring,1994,,Cattle Point, San Juan Island
1768,Badman, David,Effects of pressure and 5-hydroxytraptamine on the ventricular beat of Mya arenaria,5,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Mya arenaria,
1769,Sorenson, Martha,Respiratory exchange in holothurians,17,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Stichopus,
1770,Holleman, John,The determination of acetylcholine concentration in Pycnopodia helianthoides and Strongylocentrotus franciscanus radial nerves,6,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Pycnopodia helianthoides|Strongylocentrotus franciscanus|Tapes semidecussata,
1771,Hanson, David,The effect of 5-hydroxytryptamine (serotonin) on lactic acid production by anterior byssus retractor muscles of Mytilus californianus,8,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Mytilus californianus,
1772,Sorenson, Martha|Hanson, David,Dactylus closer muscle responses to stimulation of excitatory and inhibitory axons in Cancer magister,21,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Cancer magister|Cancer anthonyi,
1773,Hanson, David,Pharmacological studies of proboscis retractor muscle of a sipunculid, Golfingia pugettensis,11,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Golfingia pugettensis|Mytilus,
1774,Badman, David,Oxygen extraction and ventilation in Therus capax,8,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Therus capax|Mya arenaria|Mytilus californianus,
1775,Hanson, David|Sorenson, Martha,Blood volume determinations and effects of drugs, exercise and hypoxia on circulatory parameters of dogfish, Squalus suckleyi,57,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Squalus suckleyi,
1776,Holleman, John|Badman, David,Studies of cardiac pressure, oxygen tension, and blood flow in Octopus dofleini under conditions of drug administration and asphyxia,51,Zoology 538,Advanced Invertebrate Physiology,Spring,1965,Octopus dofleini,
1777,Kerstetter, Ted|Ball, Eldon,Some effects of acetylcholine, 5-hydroxytryptamine, dopamine, and potassium on the isolated heart of Mytilus californianus,13,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Mytilus californianus|Mytilus edulis|Mytilus galloprovincialis,
1778,Ball, Eldon|Kerstetter, Ted,Studies on the heart of Cancer,11,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Cancer magister|Cancer irroratus|Cancer productus,
1779,Balle, Eldon|Kerstetter, Ted,Studies on the innervation of the dactylopodite adductor muscle of Cancer magister,10,Zoology 538,Advanced Invertebrate Physiology,Spring,1967,Cancer magister|Astacus,
1780,Linder, Tom|Paul, Dorothy,Observations on the anterior byssus retractor muscle of Mytilus,12,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Mytilus californianus|Mytilus edulis,
1781,Linder, Tom|Paul, Dorothy,Mechanical and electrical responses of crab skeletal muscle to stimulation of motor and inhibitory axons(Report no. 1),14,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Cancer magister|Panulirus,
1782,Kerstetter, Ted|Ball, Eldon,Responses of Mytilus anterior byssus retractor muscle to electrical, nervous and chemical stimulation,13,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Mytilus|Mytilus californianus|Pecten maximus,
1783,Linder, Tom|Paul, Dorothy,Oxygen consumption of Abarenicola spp.,14,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Abarenicola|Arenicola marina|Arenicola cristata,
1784,Paul, Dorothy|Linder, Tom,Glutamic acid concentrations in crab blood,14,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Cancer magister|Cancer productus,
1785,Paul, Dorothy|Linder, Tom,Mechanical and electrical responses of crab skeletal muscle to stimulation of motor and inhibitory axons (Report no. 2),16,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Cancer magister|Panulirus,
1786,Peterson, Stephen|Szal, Roger,Contraction in the introvert retractor muscles of Golfingia pugettensis (Sipunculida),8,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Golfingia pugettensis|Golfingia gouldi,
1787,Peterson, Stephen|Szal, Roger,The effects of hydrostatic pressure and the drugs acetylocholine and 5-hydroxytryptamine on the beat of the isolated ventricle of Fusitriton oregonensis (Gastropoda),10,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Fusitriton oregonensis|Dolabella auricula,
1788,Szal, Roger|Peterson, Stephen,The effect of oxygen tension on heart rate and oxygen uptake in Mya arenaria (Bivalvia),7,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Mya arenaria,
1789,Szal, Roger|Peterson, Stephen,Excitation and peripheral inhibition in the closer muscle of the crab Cancer magister,9,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Cancer magister,
1790,SzaL, Roger|Peterson, Stephen,A report on attempts to record nervous activity from two gastropods - Fusitriton oregonensis and Ariolimax columbianus (Reprt no. 2?),8,Zoology 538b,Advanced Invertebrate Physiology,Spring,1967,Fusitriton oregonensis|Ariolimax columbianus|Buccinum,
1791,Nostdal, Jon|Thompson, Karen,Effects of ion replacement and an amino acid on excitation-contraction coupling,11 (2-12),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1792"Jacobs, Gwen|ODowd, Diane"The use of Lucifer Yellow CH as an intracellular dye in Tritonia diomedea neurons,6 (13-19),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1793"ODowd, Diane|Hertzberg, Richard"Quantification of movement responses to neuronal stimulation in Tritonia diomedea,12 (20-32),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1794,Pedersen, Rob,The effects of lowered pH, cAMP and temperature on sodium efflux in Balanus nubilis muscle fibers,8 (33-40),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1795,Thompson, Karen|Waks, Victoria J.,Neuronal control of escape swimming response in Tritonia diomedea,12 (41-52),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1796,Butler, Barbara,Sodium efflux from simple barnacle muscle fibers,8 (53-61),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1797,Nostdal, Jon,Anomalous rectification and electrotonic coupling in Tritonia buccal ganlia,6 (71-76),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1798,Waks, Victoria|Pedersen, Rob,The effects of CO2 and hyperpolarizing stimuli on E-C coupling in sengle muscle fibers from Balanus nubilus,13 (77-89),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1799,Waks, Victoria J.,Oubain and CO2 sensitive components of the Na pump in barnacle fibres,8 (95-103),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1800,Hertzberg, Richard,Effect of CO2 on Na22 efflux in giant barnacle fibers,10 (104-113),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1801,Jacobs, Gwen,Stimulation of Na22 efflux in barnacle muscle fibers by application of external CO2,7 (114-121),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1802"ODowd, Diane K."The effect of cAMP and caffeine on sodium transport in the giant muscle fibers of Balanus nubilus,7 (122-129),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1803"ODowd, Diane K.|Jacobs, Gwen"Excitation-contraction coupling: the effects of low Ca++ or Na++ on electrical and chemically evoked tension and the use of aequorin as an indicator of free intracellular Ca++(incomplete?),10(130-140),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1804,Masinovsky, Boris|Nostdal, Jon,Synaptic inhibition in neurons of Tritonia,5 (90-94),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea|Hermissenda,
1805,Spencer, Maribeth,The effect of external k+ concentration, oubain, external pH and cAMP on Na+ efflux in giant barnacle muscle fibers,8 (62-69),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1806,Nostdal, Jon,Efflux of sodium from muscle fibers of the acorn barnacle, Balanus nubilus,8 (141-150),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1807,Spencer, Maribeth,Excitation contraction coupling in single giant barnacle muscle fibers,14 (151-164),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1808,Thompson, Karen|Spencer, Maribeth,Chemical transmission in Tritonia diomedea,13 (165-177),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1809,Thompson, Karen J.|Waks, Victoria J.,Electrically coupled neurons in brain and buccal ganglia of Tritonia,12 (179-192),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1810,Spencer, Maribeth|Hertzberg, Richard,Electrical synapse in buccal ganglia of Tritonia diomedia,11 (193-206),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1811,Jacobs, Gwen|Pedersen, Rob,Elicitation of motor responses in Tritonia through intracellular stimulation of identifiable brain cells,5 (206-213),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1812,Thompson, Karen J.,Na efflux from the giant barnacle muscle fiber: a study of oubain and K interactions,12 (215-228),Zoology 538,Comparative Physiology,Spring,1978,Balanus nubilis,
1813,Waks, Victoria|Butler, Barb,Chemically mediated synapses and electrically coupled cells in the brain of Tritonia diomedia,16 (229-245),Zoology 538,Comparative Physiology,Spring,1978,Tritonia diomedea,
1814,Fourtner, C.R.|Osborne, Janet,Studies on the nerve-muscle preparations of the closer muscle of the dactylopodite of the crab, Cancer magister,20,Zoology 538,Advanced Invertebrate Zoology,Spring,1969,Cancer magister,
1815,Fouty, G.C.|Erickson, J.E.,Junction potentials and mechanical tension recorded from crab nerve-muscle preparation: observations on inhibition; Rc ratios,11,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Cancer magister,
1816,Erickson, J. E.|Fourtner, C. F.,Manometric determination of cholinesterase activity in the anterior byssus retractor muscle and pedal ganglia of Mytilus californianus,7,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Mytilus californianus,
1817,Osborn, J.M.,Pharmacological studies of chromatophores of the shrimp Pandalus platyceros,9,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Pandalus platyceros|Chionoecetes bairdi|Crangon vulgaris,
1818,Vocisano, Rinaldo A.,The physiology of crustacean stretch receptors,25,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Pacifastacus leniusculus,
1819,Stetson, Milton H.|Sherk, Truman E.,Oxygen equilibrium of hemoglobin from Cucumaria miniata,6,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Cucumaria miniata,
1820,Erickson, J. E.|Fourtner, C. R.,Effects of acetylcholine, cholinomimetic drugs, cholinergic blocking agents, and various ions on the isolated hearts of Mytilus calfornianus and Protothaca staminea,20,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Mytilus californianus|Protothaca staminea,
1821,Stetson, M.H.|Vocisano, R.A.,Pharmacology of the pharynx retractor muscles of Phascolosoma agassizii,11,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Phascolosoma agassizii,
1822,Osborn, Janet|Corry, Barbara,Determination of acetylcholine levels and possible sites of synthesis in the peripheral nerve of Chionoecetes bairdi (Tanner crab),9,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chionoecetes bairdi|Protothaca staminea|Cancer magister,
1823,Sherk, Truman|Stetson, Milton,Observation of beat reversal and electrical recording of heart action potentials in Chelyosoma productum,13,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chelyosoma productum,
1824,Vocisano, Rinaldo|Corry, Barbara,The effects of p-chlorophenylalanine on 5-hydroxytryptamine concentrations in the tissues of Mytilus californianus and Tritonia sp.,18,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Mytilus californianus|Tritonia|Pycnopodia,
1825,Fourtner, C.R.|Murdock, L.L.,The effect of drugs and electrical stimulation on the anterior byssus retractor muscle of Mytilus,11,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Mytilus,
1826,Fouty, G.C.|Erickson, J.E.,Release of acetylcholine in crab central nervous system and its detection by lamellibranch hear,6,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Cancer|Chionoecetes tanneri|Protothaca staminea,
1827,Murdock, Larry|Fouty, Gary,Pharmacological observations on the heart of the crab, Chionoecetes tanneri,10,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chionoecetes tanneri|Cancer productus,
1828,Murdock, L.|Stetson, M.H.,Glutamate in crab blood,8,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chionoecetes bairdi|Cancer magister,
1829,Fouty, Gary C.,Free and bound acetylcholine in a crustacean peripheral nerve,5,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chionoecetes tanneri,
1830,Sherk, Truman|Vocisano, Rinaldo,Recording of junction potentials of crab muscle using microelectrodes,11,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Cancer magister,
1831,Murdock, Larry|Sherk, Truman,A preliminary study on the use of the clam heart for the bio-assay of acetylcholine,6,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,,
1832,Osborn, J.M.|Vocisano, R.A.,Glutamate levels in the hemolymph, muscle, and peripheral nerve of the crab Chionoecetes bairdi,12,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chionoecetes bairdi|Carcinus,
1833,Corry, Barbara|Erickson, John,Contractile behavior and response to drugs of holothurian muscle,23,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Cucumaria miniata|Parastichopus californicus|Eupentacta,
1834,Fourtner, C.R.|Stetson, M.H.,Membrane characteristics of muscle fibers of the propodite of Chionoecetes bairdi,8,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chionoecetes bairdi|Chionoecetes tanneri,
1835,Fouty, Gary|Sherk, Truman,Glutamate levels in the fast and slow muscle fibers of the closer muscle of the crab, Chionoecetes bairdi,5,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Chionoecetes bairdi,
1836,Osborn, Janet|Corry, Barbara,Studies of normal and p-chlorophenylalanine treated molluscan smooth muscle,14,Zoology 538,Advanced Invertebrate Physiology,Spring,1969,Mytilus edulis,
1837,Snow, Peter|Thompson, Marsha,A study of the dependence of acetylcholine responses of the hearts of five species of Pelecypoda on the external chloride and sodium ion concentrations,13,Zoology 538,Comparative Physiology,Spring,1971,Mytilus californianus|Humilaria kennerleyi|Protothaca tenerrima|Pecten hindsii (rubida)|Serripes groenlandicus,
1838,Lindahl, Alice|Thompson, Stuart,Studies on the cardiac arrest response in Cancer productus,11,Zoology 538,Comparative Physiology,Spring,1971,Cancer productus,
1839,Blomberg, George|Cockburn, Tom,The effect of cesium and potassium ions on the heart of Cancer productus (Brachyura: Crustacea),13,Zoology 538,Comparative Physiology,Spring,1971,Cancer productus|Homarus americanus,
1840,Drewes, Charles D.|Garnett, Donald G.,Mechanism of the inhibitory action of acetylcholine on the heart of the clam, Saxidomus giganteus,22,Zoology 538,Comparative Physiology,Spring,1971,Saxidomus giganteus|Mytilus|Protothaca,
1841,Garnett, Donald G.|Drewes, Charles D.,Electrical and mechanical responses of the dactylopodite closer muscle of the crab, Cancer magister to inhibitory and excitatory nerve stimulation and to changes in external chloride concentration,15,Zoology 538,Comparative Physiology,Spring,1971,Cancer magister|Cancer anthonyi|Cancer antennarius,
1842,Mistick, Dy|Garnett, Donald,Behavioral and pharmacological studies of crab heart rate,16,Zoology 538,Comparative Physiology,Spring,1971,Cancer magister|Cancer productus|Cancer gracilis,
1843,Thompson, Marsha|Snow, Peter,Intracellular mapping of an identifiable neuron in the buccal ganglia of Melibe leonina,13,Zoology 538,Comparative Physiology,Spring,1971,Melibe leonina|Tritonia|Aplysia,
1844,Drewes, Charles D.|Kass-Simon, G.,Extracellular recording of rhythmic coordinated maxilliped beating in Cancer gracilis and Cancer productus,20,Zoology 538,Comparative Physiology,Spring,1971,Cancer gracilis|Cancer productus,
1845,Anderson, Deanna|Quetin, Langdon,An analysis of beating co-ordination between contralateral crab maxillipeds,14,Zoology 538,Comparative Physiology,Spring,1971,Chionoecetes tanneri|Cancer gracilis|Telmessus cheiragonus,
1846,Snow, Peter|Thompson, Marsha,Responses of Dactylus closer muscle to stimulation of excitatory and inhibitory axons in Cancer magister,12,Zoology 538,Comparative Physiology,Spring,1971,Cancer magister|Carcinus maenas,
1847,Thompson, Stuart|Lindahl, Alice,Identification of cells in the buccal and pedal ganglia of Melibe leonina by fluorescent staining with Procion Yellow,10,Zoology 538,Comparative Physiology,Spring,1971,Melibe leonina|Philine aperta,
1848,Woode, K.|Smith, S.,Electrotonic coupling of trigger cells in the mollusk Tritonia diomedia,11,Zoology 538,Comparative Physiology,Spring,1972,Tritonia diomedea,
1849,Bosma, Marti|Gazarek, Sue,Electrical coupling in a number of neurons in Tritonia diomedia and attempted uncoupling with EGTA and CO2,14,Zoology 538,Comparative Physiology,Spring,1979,Tritonia diomedea,
1850,Martinez, Diane|Partridge, Don,Cell morphology in two nudibranch ganglia,6,Zoology 538,Comparative Physiology,Spring,1972,Tritonia diomedea|Anisodoris nobilis|Austrodoris odhneri|Archidoris montereyensis,
1851,von Carolsfeld, J.S.|Cole, E.S.,More C-2: synaptic pleasures,13,Zoology 538,Comparative Physiology,Spring,1979,Tritonia diomedea,
1852,Cole, Eric|Fowler, John C.,Report on the use of Na+-sensitive liquid ion exchanger,11,Zoology 538,Comparative Physiology,Spring,1979,Cancer magister,
1853,Koontz, Margaret|Martinez, Diane,Determination of axonal pathways in opisthobranch ganglia; possible single cell circadian rhythm,12,Zoology 538,Comparative Physiology,Spring,1972,Tritonia diomedea|Aplysia californica,
1854,Donaldson, Sven|Gillette, Rhanor,Characteristics of a few cells on the dorsal and ventral surfaces of the Tritonia brain; A short study of Dendronotus rufus as a whole animal preparation,11,Zoology 538,Comparative Physiology,Spring,1972,Tritonia diomedea|Dendronotus rufus,
1855,Prior, David|Partridge, Don,Neural effects of Metrazol in Tritonia,7,Zoology 538,Comparative Physiology,Spring,1972,Tritonia diomedea,
1856,Donaldson, Sven|Prior, David J.,Endogenous activity in the central nervous system of the barnacle Pollicipes polymerus,6,Zoology 538,Comparative Physiology,Spring,1972,Pollicipes polymerus,
1857,Donaldson, Sven,Electrophysiological confirmation of an axon pathway previously established by dye injection techniques(incomplete?),4,Zoology 538,Comparative Physiology,Spring,1972,Tritonia gilberti|Aplysia,
1858,Martinez, Diane,Circadian rhythms in single cells of Tritonia diomedia; Stimulus-specific cell activity in Tritonia diomedia,12,Zoology 538,Comparative Physiology,Spring,1972,Tritonia diomedea|Aplysia californica,
1859,Seesee, Floyd M.,Habituation studies of tentacle and body withdrawal responses to touch in Fusitriton oregonensis,5,Zoology 538,Comparative Physiology,Spring,1972,Fusitriton oregonensis|Lymnaea stagnalis,
1860,Gillette, Rhanor|Woode, Kathy,The effects of Ca++ on the action potentials of giant nerve cells in Tritonia diomedia,11,Zoology 538,Comparative Zoology,Spring,1972,Tritonia diomedea|Aplysia|Helix,
1861,Mandel, SaraLynn,Membrane potential and pH in Nitella,11,Zoology 538,Comparative Physiology,Spring,1979,Nitella,
1862,Nelson, Carib,Membrane potential and pH in Nitella,11,Zoology 538,Comparative Physiology,Spring,1979,Nitella,
1863,Nelson, Carib|Keenan, Larry,Synaptic interactions between C2 and PD5 in Tritonia diomedea,8,Zoology 538,Comparative Physiology,Spring,1979,Tritonia diomedea,
1864,Porter, Chris|Cole, E.S.,An inquiry into the central nervous system of the opisthobranch mollusc Melibe leonina,11,Zoology 538,Comparative Physiology,Spring,1979,Melibe leonina,
1865,Porter, Chris|Keenan, Larry,Electrical coupling in trigger cells of Tritonia diomedea,11,Zoology 538,Comparative Physiology,Spring,1979,Tritonia diomedea,
1866,Porter, Chris,Intracellular staining of neurons in nudibranch brains with cobalt and Lucifer yellow,18,Zoology 538,Comparative Physiology,Spring,1979,Tritonia diomedea|Armina californica|Archidoris montereyensis,
1867,Loughney, Kate,Cobalt staining of neurons in Tritonia,9,Zoology 538,Advanced Invertebrate Physiology,Spring,1975,Tritonia diomedea|Tritonia hombergii|Helix pomatia|Pleurobrachia,
1868,Lloyd, Phillip,A tentative hypothesis for the function of the cerebral giant neuron in Tritonia,15,Zoology 538,Advanced Invertebrate Physiology,Spring,1975,Tritonia diomedea|Aplysia|Helix,
1869,Dodd, Colin,Garcia-learning in Helix and in Pycnopodia,5,Zoology 538,Advanced Invertebrate Physiology,Spring,1975,Pycnopodia helianthoides|Helix,
