Number,Author,Title,Pages,Class Number,Class Name,Quarter,Year,Descriptors,Location
60,Cheyette, David|Elguezabal, Xabier|Hulsman, Steve,Qualitative study of the flora and fauna of False Bay, San Juan Island, Washington,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1978,,False Bay, San Juan Island
61,Chen, Peter,Occurrence of epiphytes on artificial eelgrass,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,,
62,Childs, Ruth E.,The ecology of a cave: effects of reduced light on intertidal distribution and on the algal symbionts of Anthopleura elegantissima,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Anthopleura elegantissima,
63,Clemmons, Earth (Ruth),Studies on a possible host-specific alga, Percursaria dawsonii, and the limpets that harbor it, especially Notoacmea scutum,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Percursaria dawsonii|Notoacmea scutum,
64,Dreyer, Sheryl A.,Observations of a marine ascomycete Parcidia balani,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Pharcidia balani,
65,Ehlers, Harald,Substrate effect: a qualitative approach,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,,
66,Gooley, Lori,Aspects of the feeding of Tigriopus californicus (Baker),,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Tigriopus californicus,
67,Granquist, Carl A.,Feeding preference and induced spawning studies of Haliotis kamtschatkana,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Haliotis kamtschatkana,
68,Kelly, Kimberly,Is biological diversity correlated to geological formations?,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,,
69,Jernberg, Tim"Marine life in and out of tidepools; a comparative study at Colins Cove",Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,"Colins Cove, San Juan Island"
70,Mason, Jeff,Decorating habits of some local spider crabs,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,,
71,Maus, David,Algal feeding preferences of Platynereis bicanaliculata,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Platynereis bicanaliculata,
72,McClenahan, John,Spatial and nutrient distributions for three species of limpets: Notoacmea scutum, Collisella pelta, Collisella digitalis,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Notoacmea scutum|Collisella pelta|Collisella digitalis,
73,Mundt, Judy Calvin,The effects of polychaete worm tubes on the distribution and abundance of algae in Mitchell Bay,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,,Mitchell Bay, San Juan Island
74,Stitt, Trevor,The optimal foraging theory as applied to the feeding behavior of Notoacmeascutum in a patchy environment,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Notoacmea scutum,
75,Valett, Melee Kaye,Filter feeding rates of Henricia leviuscula (Stimpson 1857) on unialgal suspensions,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Henricia leviuscula,
76,Van Noy, Mark,Sea urchin scent preference of vegetative blades vs. the reproductive sori of Nereocystis luetkeana and Alaria marginata,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1979,Nereocystis luetkeana|Alaria marginata,
77,Baron, Kipp,Spore adhesion of five species in the Laminariales,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Laminariales,
78,Baxter, Holly,Cell elongation patterns in Griffithsia pacifica and Antithamnionella glandulifera: seen with fluorescent labelling,,Botany 445| Zoology 430,Marine Algology Marine Zoology,Spring,1980,Griffithsia pacifica|Antithamnionella glandulifera,
79,Brancato, Mary Sue,Influence of presence and type of algal wrack on the diversity and abundance of invertebrates,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,,
80,Hamilton, Lori,A comparison of the salinity tolerance of Enteromorpha intestinalis and Enteromorpha linza,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Enteromorpha intestinalis|Enteromorpha linza,
81,Hampel, Jenny,Morphological variations in Hedophyllum,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Hedophyllum,
82,Laufle, Jeffrey C,Release and germination of carpospores of Delesseria decipiens in culture,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Delesseria decipiens,
83,McClintock, Mark,Cell structure and arrangement in Desmarestia,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Desmarestia,
84,Morgan, Hilary,The grazing effects of two intertidal herbivores on the encrusting algae Lithophyllum and Lithothamnion,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Lithophyllum|Lithothamnion,
85,Paul, Anne Sandilands,The effect of daylength and light intensity on spore release in Pilayella littoralis,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Pilayella littoralis,
86,Pflueger, Kathy,Endophytes in red algal species of San Juan Island,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,,San Juan Island
87,Rischbieter, Michael,Occurrence of algal epiphytes on Fucus gardneri on San Juan Island, Washington,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Fucus gardneri,San Juan Island
88,Sparks, Pamela,Observing the cell elongation pattern in Antithamnion defectum and Scagelia occidentalis by a fluorescent labelling,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Antithamnion defectum|Scagelia occidentalis,
89,Stewart, Shelley,Scanning electron microscopy of the articulated coralline algae,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,,
90,Van Vliet, Gustaaf,The effect of Katharina tunicata on the attachment site of Hedophyllum sessile young sporophytes: an experimental field study,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Hedophyllum sessile|Katharina tunicata,
91,Volkers, Scott"Early algal succession in a Colins Cove tidepool",Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,"Colins Cove, San Juan Island"
92,Keene, Nancy|Navaluna, Noli|Orellana, Monica,Scattering and indices of refraction of seven species of marine phytoplankton,,Oceanography 590,Bio-Optical Oceanography,Summer,1985,,
93,Smith, David C.,Effects of nitrate limitation on the light scattering properties of Chaetoceros gracilis grown at two light intensities,,Oceanography 590,Bio-Optical Oceanography,Summer,1985,Chaetoceros gracilis,
94,Clark, H. Lawrence|Collins, Donald|English, David,Remote sensing of water optical properties,,Oceanography 590,Bio-Optical Oceanography,Summer,1985,,
95,Baynes, Tracy,In vivo flourescence at Friday Harbor,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,Friday Harbor
96,Bollard, Barbara,Analysis of the vertical stratification of primary production and CHL A in East Sound and its implication on remote sensing data,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,East Sound, Orcas Island
97,Chalup, Michael,Determination of diel periodicity of the wavelength-dependent specific absorption coefficients of a marien phytoplankter,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,
98,Frankenstein, S.,Comparison of absorpion measurement techniques,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,
99,Kukert, Helmut,Photoadaptation: a process which needs to be considered in remote sensing,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,
100,Martinez, Lisa,Effects of nitrogen limitation in Chaetoceros gracilus,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,Chaetoceros gracilis,
101,Montecino, Vivian,Quantum efficiency, flourescence index and absorbance of Dock samples after exposure to different light amounts,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,
102,Najjar, Raymond,Measurements of the average cosine of seawater using a remote sensing reflectance model,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,
103,Neuer, Susanne,Flow cytometer and plankton succession,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,
104,Roesler, Collin,Light and productivity: a study of East Sound, Orcas Island, Washington,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,East Sound, Orcas Island
105,Stallings, Casson,A downwelling irradiance model,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,,
106,Woloszyn, Edmund,Changes in the absorption properties of the neritic diatiom Thalassiosira pseudonana,,Oceanography 590,Bio-Optical Oceanography,Summer,1987,Thalassiosira pseudonana,
107,Abbot, Amy,The effect of several environment factors on the distribution and locomotion of the mud snail Ilyanassa obsoleta,,Oceanography 590b,Animal-Microbe-Sediment Relations,Summer,1988,Ilyanassa obsoleta,
108,Beggs, Hilary,The effect of Upogebia sp. on sediment-water exchange in False Bay,,Oceanography 590b,Animal-Microbe-Sediment Relations,Summer,1988,Upogebia,False Bay, San Juan Island
109,Weigand, W. E,Viability of Nereocystis luetkeana zoospores,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Nereocystis luetkeana,
110,Wimberger, Peter,Pyramimonas parkeae: a scanning electron microscope perspective, and a possible new method of fixation to view the scale reservoir system,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Pyramimonas parkeae,
111,Baron, Kipp,Avoidance of two phenotypes of Pisaster ochraceus by Notoacmea scutum and Collisella pelta,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Pisaster ochraceus|Notoacmea scutum|Collisella pelta,
112,Baxter, Holly,Relations of Diodora aspera and its symbiotic polychaete Arctonoe vittata,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Diodora aspera|Arctonoe vittata,
113,Brancato, Mary Sue,Influence of presence and type of algal wrack on the diversity and abundance of invertebrates,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,,
114,Hamilton, Lorene,Mapping the dispersal of Anthopleura elegantissima clones: potential barriers and a clone transplant,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Anthopleura elegantissima,
115,Hampel, Jenny,Species diversity in Mytilus californianus clumps,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Mytilus californianus,
116,Laufle, Jeffrey C.,Food habits and competition in two Pacific urchins, Strongylocentrotus droebachiensis and S. pallidus,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Strongylocentrotus droebachiensis|Strongylocentrotus pallidus,
117,McClintock, Mark L.,The effect of predation and competition on the vertical distribution of Balanus glandula,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Balanus glandula,
118,Paul, Anne Sandilands,Vertical distribution of settling cyprids and metamorphosing juveniles in relation to adult distributions of Balanus cariosus,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Balanus cariosus,
119,Pflueger, Kathy,Phototaxic behavior and the use of Hedophyllum as a shade plant by Katharina tunicata and Tonicella lineata,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Hedophyllum|Katharina tunicata|Tonicella lineata,
120,Rischbieter, Michael,A study of the hermit crabs of the rocky intertidal on the southwest side of San Juan Island,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,,San Juan Island, Southwest Side
121,Sparks, Pamela,Vertical zonation on the Friday Harbor town floats,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,,Friday Harbor
122,Stewart, Shelley,Studies on the gut symbionts of Stronglyocentrotus droebachiensis and Strongylocentrotus pallidus,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Strongylocentrotus droebachiensis|Strongylocentrotus pallidus,
123,Van Vliet, Gus,The effect of Hedophyllum sessile canopy removal on the short-term persistence of the associated fauna,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Hedophyllum sessile,
124,Volkers, Scott"Aspects of Colins Cove tidepool community after five years",Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,"Colins Cove, San Juan Island"
125,Weigand, W. E.,Abundance of two species of grapsoid crabs at two location on San Juan Island,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,,San Juan Island
126,Wimberger, Peter,Shell thickness as a defensive adaptation: predation of Cancer productus on Thais lamellosa,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1980,Cancer productus|Thais lamellosa,
127,Carney, Mary,An exercise in electrophoresis,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,
128,Carney, Mary,Scallops: how they swim and how barnacled shells affect them,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,
129,Erickson, Sandra L.,A comparative study of succession within a marine intertidal community,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,
130,Fitzsimmons, Nancy Nelson,An ecological study of buoys in the San Juans -- with reference to the theories of succession and island biogeography,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,San Juan Islands
131,Gallanger, William,An investigation into the abundance of a marine trichomycete commensal in the hindgut of Hemigrapsus nudus and H. oregonensis,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,Hemigrapsus nudus|Hemigrapsus oregonensis,
132,Grossman, Andrew,The effects of shade on the distribution of Balanus glandula,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,Balanus glandula,
133,Hirsch, Louise,Observations and comparisons of the form and function of tube feet in the phylum Echinodermata,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,Echinodermata,
134,Falmagne, Kate Marie,A description of Chaetoceros concavicorpis and Sypedra fulgens,,Botany 445,Marine Algology,Fall,1979,Chaetoceros concavicornis|Synedra fulgens,
135,Hausler, Mary,A SEM study of the structure of Paralia sulcata (Ehrenberg) Cleve and Stauroneis decipiens Hustedt,,Botany 445,Marine Algology,Fall,1979,Paralia sulcata|Stauroneis decipiens,
136,Klein, Steven,A study of Chaetoceros didymus resting spores and Pleurosigma elongatum,,Botany 445,Marine Algology,Fall,1979,Chaetoceros didymus|Pleurosigma elongatum,
137,Stewart, Cindy,Structural descriptions of two epiphetic diatoms:Cocconeis costata Gregory 1855 and Arachnoidiscus ehrenbergii Baily 1850,,Botany 445,Marine Algology,Fall,1979,Cocconeis costata|Arachnoidiscus ehrenbergi,
138,Wells, Jeff,Determining the taxonomy of two diatoms, Ditylum brightwellii and Rhabdonema arcuatum, collected in the field,,Botany 445,Marine Algology,Fall,1979,Ditylum brightwellii|Rhabdonema arcuatum,
139,Westman, Angela,A description of a pennate diatom of the family Fragillariaceae,,Botany 445,Marine Algology,Fall,1979,Fragillariaceae,
140,Westman, Angela,An examination of the structure of Triceratium arcticum Brightwell through the use of scanning electron microscopy,,,,,,Triceratium arcticum,
141,Alexander, Andrea"A survey of the Lyngbya community at Jakles Lagoon",Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,Lyngbya"Jakles Lagoon, San Juan Island"
142,Bressler, Steven L.,A qualitative analysis of the surface plankton of Friday Harbor,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,Friday Harbor
143,Field, L. Jay,The associates of Phyllospadix in a mid-littoral tide pool,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,Phyllospadix,
144,Gold, Warren G.,The intertidal zonatation of Beaverton Bay,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,Beaverton Cove
145,Hart, Sarah,Plastic as a way of life,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,
146,Kinsel, Linda,Float communities of Friday Harbor town dock:a study of substrate effect on zonation,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,Friday Harbor
147,Kuehnoel, Gregory S.,A survey study of an intertidal log community, False Bay, San Juan Island,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,False Bay, San Juan Island
148,Lowell, Rick,The effects of exposure to sunlight and waves on intertidal zonation,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,
